range_hint,match_id,league,kickoff,home_team,away_team,team,line,selection,model_prob,fair_odds,min_odds_for_edge,odds
C,football_data_542702,L1,2026-05-11 03:00,Rennes,Paris FC,Paris FC,+0.5,Paris FC AH +0.5,0.39,2.564,2.692,
C,football_data_540702,Bundesliga,2026-05-10 23:30,FC Koln,Heidenheim,Heidenheim,+0.5,Heidenheim AH +0.5,0.3898,2.565,2.693,
C,football_data_537171,SerieA,2026-05-11 00:00,Parma,Roma,Roma,-1.5,Roma AH -1.5,0.3896,2.566,2.695,
C,football_data_544550,LaLiga,2026-05-05 03:00,Sevilla,Sociedad,Sevilla,0,Sevilla AH 0,0.3894,2.568,2.696,
C,football_data_544558,LaLiga,2026-05-09 22:15,Sevilla,Espanol,Espanol,0,Espanol AH 0,0.3894,2.568,2.696,
C,football_data_540697,Bundesliga,2026-05-10 21:30,Hamburg,Freiburg,Freiburg,-0.5,Freiburg AH -0.5,0.3839,2.605,2.735,
C,football_data_544556,LaLiga,2026-05-09 20:00,Elche,Alaves,Alaves,0,Alaves AH 0,0.3833,2.609,2.739,
C,football_data_538141,EPL,2026-05-10 00:30,Man City,Brentford,Brentford,+0.5,Brentford AH +0.5,0.3828,2.612,2.743,
C,football_data_538139,EPL,2026-05-09 22:00,Fulham,Bournemouth,Bournemouth,-0.5,Bournemouth AH -0.5,0.3824,2.615,2.746,
C,football_data_544557,LaLiga,2026-05-10 03:00,Sociedad,Betis,Sociedad,-1,Sociedad AH -1,0.3818,2.619,2.75,
C,football_data_537167,SerieA,2026-05-09 21:00,Cagliari,Udinese,Udinese,-0.5,Udinese AH -0.5,0.3787,2.641,2.773,
C,football_data_544559,LaLiga,2026-05-11 00:30,Real Oviedo,Getafe,Getafe,0,Getafe AH 0,0.3776,2.649,2.781,
C,football_data_537174,SerieA,2026-05-10 02:45,Lecce,Juventus,Lecce,+1,Lecce AH +1,0.375,2.666,2.8,1.93
C,football_data_538142,EPL,2026-05-10 21:00,Nott'm Forest,Newcastle,Newcastle,0,Newcastle AH 0,0.3745,2.67,2.804,
C,football_data_538135,EPL,2026-05-09 22:00,Sunderland,Man United,Man United,-1,Man United AH -1,0.3743,2.672,2.805,
C,football_data_542702,L1,2026-05-11 03:00,Rennes,Paris FC,Rennes,-1.5,Rennes AH -1.5,0.3744,2.671,2.805,
C,football_data_540695,Bundesliga,2026-05-09 21:30,Stuttgart,Leverkusen,Leverkusen,0,Leverkusen AH 0,0.3692,2.708,2.844,
C,football_data_537168,SerieA,2026-05-09 02:45,Torino,Sassuolo,Sassuolo,-1,Sassuolo AH -1,0.368,2.717,2.853,
C,football_data_538140,EPL,2026-05-09 19:30,Liverpool,Chelsea,Liverpool,-1.5,Liverpool AH -1.5,0.3657,2.735,2.871,
C,football_data_538143,EPL,2026-05-12 03:00,Tottenham,Leeds,Leeds,-1.5,Leeds AH -1.5,0.3644,2.744,2.882,
C,football_data_540695,Bundesliga,2026-05-09 21:30,Stuttgart,Leverkusen,Stuttgart,-1,Stuttgart AH -1,0.3639,2.748,2.885,
C,football_data_542698,L1,2026-05-11 03:00,Toulouse,Lyon,Lyon,-0.5,Lyon AH -0.5,0.3629,2.755,2.893,
C,football_data_538144,EPL,2026-05-10 23:30,West Ham,Arsenal,West Ham,+0.5,West Ham AH +0.5,0.3626,2.758,2.896,
C,football_data_538139,EPL,2026-05-09 22:00,Fulham,Bournemouth,Fulham,-0.5,Fulham AH -0.5,0.3618,2.764,2.902,
C,football_data_542698,L1,2026-05-11 03:00,Toulouse,Lyon,Toulouse,-0.5,Toulouse AH -0.5,0.3595,2.781,2.92,
